id,name,description,assignable,category,creationDate,lastModificationDate,creationUser,lastModificationUser
2131,GRUPO_BACKOFFICE_MUTUACTIVOS_G4,GRUPO_BACKOFFICE_MUTUACTIVOS_G4,true,OTROS,2015-07-27T22:00:06.624+02:00,,ACAGA9M,
2079,GRUPO_BACKOFFICE_MUTUACTIVOS_G5,GRUPO_BACKOFFICE_MUTUACTIVOS_G5,true,OTROS,2015-07-27T22:00:06.624+02:00,,ACAGA9M,
2080,GRUPO_BACKOFFICE_MUTUACTIVOS_G6,GRUPO_BACKOFFICE_MUTUACTIVOS_G6,true,OTROS,2015-07-27T22:00:06.624+02:00,,ACAGA9M,
2129,GRUPO_BACKOFFICE_MUTUACTIVOS_G7,GRUPO_BACKOFFICE_MUTUACTIVOS_G7,true,OTROS,2015-07-27T22:00:06.624+02:00,,ACAGA9M,
2284,GRUPO_BACKOFFICE_MUTUACTIVOS_G8,,true,OTROS,2016-01-25T17:29:13.990+01:00,2016-01-25T17:29:13.990+01:00,WEB-SERVICE,WEB-SERVICE
2402,GRUPO_BACKOFFICE_MUTUACTIVOS_G9,,true,OTROS,2016-04-04T18:48:44.262+02:00,2016-04-04T18:48:44.262+02:00,WEB-SERVICE,WEB-SERVICE
2107,GRUPO_BACKOFFICE_PRESTACIONES_AUTOS,GRUPO_BACKOFFICE_PRESTACIONES_AUTOS,true,OTROS,2015-07-27T22:00:06.624+02:00,,ACAGA9M,
2106,GRUPO_BACKOFFICE_PRESTACIONES_HOGAR,GRUPO_BACKOFFICE_PRESTACIONES_HOGAR,true,OTROS,2015-07-27T22:00:06.624+02:00,,ACAGA9M,
2191,GRUPO_BACKOFFICE_PROD_AUTOS_GLOBALIS,,true,OTROS,2015-10-20T18:16:22.303+02:00,2015-10-20T18:16:22.303+02:00,WEB-SERVICE,WEB-SERVICE
2100,GRUPO_BACKOFFICE_PRODUCCION_ACCIDENTES,GRUPO_BACKOFFICE_PRODUCCION_ACCIDENTES,true,OTROS,2015-07-27T22:00:06.624+02:00,,ACAGA9M,
2104,GRUPO_BACKOFFICE_PRODUCCION_AUTOS,GRUPO_BACKOFFICE_PRODUCCION_AUTOS,true,OTROS,2015-07-27T22:00:06.624+02:00,,ACAGA9M,
2105,GRUPO_BACKOFFICE_PRODUCCION_HOGAR,GRUPO_BACKOFFICE_PRODUCCION_HOGAR,true,OTROS,2015-07-27T22:00:06.624+02:00,,ACAGA9M,
2118,GRUPO_BACKOFFICE_PRODUCCION_HOGAR_TELEFONIA,GRUPO_BACKOFFICE_PRODUCCION_HOGAR_TELEFONIA,true,OTROS,2015-07-27T22:00:06.624+02:00,,ACAGA9M,
2069,GRUPO_BACKOFFICE_SINIESTROS_DISCREPANCIA_PARTES,GRUPO_BACKOFFICE_SINIESTROS_DISCREPANCIA_PARTES,true,OTROS,2015-07-27T22:00:06.624+02:00,,ACAGA9M,
8927,GRUPO_BO_PRESTACIONES_AUTOS_A8,,true,OTROS,2024-02-06T12:54:09.054+01:00,2024-02-06T12:54:09.054+01:00,WEB-SERVICE,WEB-SERVICE
7612,GRUPO_CALIDAD,,true,OTROS,2021-05-12T13:05:23.452+02:00,2021-05-12T13:05:23.452+02:00,WEB-SERVICE,WEB-SERVICE
2100,GRUPO_CALL_CENTER_ADMIN_DOCUMENTACION,GRUPO_CALL_CENTER_ADMIN_DOCUMENTACION,true,OTROS,2015-07-27T22:00:06.624+02:00,,ACAGA9M,
2088,GRUPO_CALL_CENTER_BIERZO,GRUPO_CALL_CENTER_BIERZO,true,OTROS,2015-07-27T22:00:06.624+02:00,,ACAGA9M,
2072,GRUPO_CALL_CENTER_GSS,GRUPO_CALL_CENTER_GSS,true,OTROS,2015-07-27T22:00:06.624+02:00,,ACAGA9M,
2087,GRUPO_CALL_CENTER_GSS_ENCUESTA,GRUPO_CALL_CENTER_GSS_ENCUESTA,true,OTROS,2015-07-27T22:00:06.624+02:00,,ACAGA9M,
2071,GRUPO_CALL_CENTER_KONECTA,GRUPO_CALL_CENTER_KONECTA,true,OTROS,2015-07-27T22:00:06.624+02:00,,ACAGA9M,
3504,GRUPO_CALL_CENTER_KONECTA_CORDIS,,true,OTROS,2017-06-26T11:41:58.380+00:00,2017-06-26T11:41:58.380+00:00,WEB-SERVICE,WEB-SERVICE
2122,GRUPO_CALL_CENTER_KONECTA_RETEN,GRUPO_CALL_CENTER_KONECTA_RETEN,true,OTROS,2015-07-27T22:00:06.624+02:00,,ACAGA9M,
9362,GRUPO_CALL_CENTER_LISA,GRUPO_CALL_CENTER_LISA,true,OTROS,2025-06-11T12:52:09.741+00:00,2025-06-25T22:00:07.713+00:00,WEB-SERVICE,MIGAUT2
2070,GRUPO_CALL_CENTER_MARKTEL,GRUPO_CALL_CENTER_MARKTEL,true,OTROS,2015-07-27T22:00:06.624+02:00,,ACAGA9M,
2073,GRUPO_CALL_CENTER_MARKTEL_CAMPAÑAS,GRUPO_CALL_CENTER_MARKTEL_CAMPAÑAS,true,OTROS,2015-07-27T22:00:06.624+02:00,,ACAGA9M,
2130,GRUPO_CALL_CENTER_MARKTEL_TELF,GRUPO_CALL_CENTER_MARKTEL_TELF,true,OTROS,2015-07-27T22:00:06.624+02:00,,ACAGA9M,
2086,GRUPO_CALL_CENTER_MARKTEL_WINBACK,GRUPO_CALL_CENTER_MARKTEL_WINBACK,true,OTROS,2015-07-27T22:00:06.624+02:00,,ACAGA9M,
2068,GRUPO_CALL_CENTER_PREST_AUTOS_COORDI,GRUPO_CALL_CENTER_PREST_AUTOS_COORDI,true,OTROS,2015-07-27T22:00:06.624+02:00,,ACAGA9M,
2101,GRUPO_CALL_CENTER_PRESTACIONES_AUTOS,GRUPO_CALL_CENTER_PRESTACIONES_AUTOS,true,OTROS,2015-07-27T22:00:06.624+02:00,,ACAGA9M
